id,first_name,last_name,patronymic,date_of_birth
,Марта,Гук,Степанівна,1983-09-05
,Вʼячеслав,Коваленко,Захарівна,1954-01-03
,Пармен,Балабан,Володимирович,2010-03-24
,Амалія,Бгиденко,Данівна,2020-07-22
,Станіслав,Жаліло,Гаврилович,1927-05-09
,Йосип,Салій,Августинович,1967-12-23
,Роксолана,Охримович,Лесівна,1959-03-03
,Марко,Притула,Бориславівна,2019-02-07
,Веніямин,Верховинець,Єфремович,1928-08-31
,Охрім,Яремків,Панасович,1982-06-25
,Зиновій,Онищенко,Станіславівна,1939-05-02
,Роксолана,Бевз,Теодорівна,1993-02-26
,Андрій,Шелест,Мирославович,1970-02-24
,Альбіна,Перепелиця,Климентівна,2009-08-23
,Варфоломій,Артимович,Трохимівна,1977-04-27
,Світлана,Фартушняк,Святославівна,1926-10-04
,Валентин,Данченко,Андрійович,1979-12-23
,Анастасія,Сірко,Юстимівна,2001-09-23
,Наталія,Даньків,Валентинівна,1952-02-03
,Єва,Лукаш,Юхимівна,1993-09-29
,Адам,Батюк,Данівна,1991-05-15
,Юстим,Пушкар,Олегович,1958-02-06
,Софія,Баран,Борисівна,1924-06-22
,Анжела,Масоха,Мирославівна,1981-07-10
,Анжела,Затовканюк,Данівна,1945-06-18
,Анжела,Сірченко,Степанівна,1992-08-03
,Ольга,Приймак,Дмитріївна,1980-02-18
,Михайло,Шутько,Павлович,2016-07-31
,Аліна,Дубина,Амвросійовна,1925-04-03
,Мирослав,Христенко,Євгенійович,2009-01-20
,Зорян,Бабариченко,Федорович,1985-05-21
,Орхип,Шило,Іванович,1981-11-23
,Миколай,Баштан,Несторович,2020-09-30
,Пріска,Карпенко,Адамівна,1960-07-15
,Ярослава,Вертипорох,Яремівна,1986-10-03
,Демʼян,Рак,Макарович,1994-03-22
,Оксана,Чуприна,Русланівна,1961-12-29
,Ростислав,Чарниш,Демидівна,1990-03-22
,Златослава,Скорик,Леонтіївна,1935-09-17
,Франц,Примаченко,Теодорівна,1969-09-03
,Марʼяна,Рак,Едуардівна,1926-12-27
,Дарина,Батуринець,Альбертівна,1957-06-06
,Надія,Калениченко,Аркадіївна,1959-01-01
,Охрім,Бевзенко,Охрімівна,1966-05-20
,Давид,Дробаха,Климентович,1991-06-29
,Борислав,Абрагамовська,Валерійович,2015-03-10
,Франц,Бебешко,Гаврилівна,2022-09-12
,Юхим,Притула,Амвросійович,1970-12-08
,Болеслав,Іщенко,Ігнатович,1993-07-12
,Альбіна,Юрчишин,Назарівна,1997-09-25
,Алла,Вишняк,Владиславівна,2009-04-30
,Володимир,Рубець,Трохимович,2021-07-03
,Єлисавета,Вдовиченко,Францівна,1997-02-22
,Світлана,Дашенко,Лукʼянівна,1992-11-15
,Камілла,Єрмоленко,Теодорівна,2015-11-29
,Охрім,Тесля,Семенович,2015-10-22
,Тетяна,Романчук,Тимофіївна,2012-11-28
,Соломон,Атрощенко,Едуардівна,1991-03-22
,Олена,Ященко,Августинівна,1975-05-29
,Ілля,Іванченко,Демидович,1968-09-03
,Лілія,Ващенко-Захарченко,Демидівна,2020-08-25
,Василина,Гречаник,Миколаївна,1926-11-09
,Богданна,Аверченко,Тарасівна,2020-01-14
,Гаврило,Тимченко,Омелянівна,1977-04-29
,Герман,Малик,Орхипович,1932-07-02
,Андрій,Андрієвич,Давидівна,1953-06-03
,Остап,Худобʼяк,Віталійович,2002-11-14
,Орина,Верес,Глібівна,2006-10-08
,Марія,Закусило,Альбертівна,1959-06-16
,Мирон,Пустовіт,Макарівна,1963-11-09
,Сніжана,Цісик,Григоріївна,1987-03-21
,Валерій,Скопенко,Геннадійович,1939-05-06
,Пріска,Рубець,Віталіївна,1994-01-16
,Антон,Гайдамака,Трохимович,2023-11-17
,Богуслава,Палій,Володимирівна,1993-07-14
,Сніжана,Носаченко,Варфоломіївна,1981-09-09
,Степан,Юрченко,Данилівна,1976-01-27
,Франц,Товстоліс,Кирилівна,1959-07-21
,Едита,Негода,Євгенівна,2018-02-01
,Устим,Якимчук,Едуардівна,2010-12-08
,Едуард,Андрієвич,Русланівна,1941-08-20
,Єва,Стець,Геннадіївна,2020-05-23
,Анастасія,Карпа,Лесівна,2008-01-18
,Тетяна,Шморгун,Амвросійовна,1924-01-29
,Аарон,Пелех,Венедиктівна,1953-07-31
,Еріка,Рудько,Феофанівна,1979-09-22
,Гаврило,Корбут,Леонтійович,1970-06-28
,Володимира,Чала,Андріївна,1946-04-21
,Альбіна,Овсієнко,Несторівна,1944-03-14
,Веніямин,Дашкевич,Вʼячеславович,1946-03-20
,Ярослав,Перебийніс,Ігнатівна,1953-04-09
,Альберт,Арсенич,Демʼянівна,2021-03-05
,Адам,Гупало,Степанович,2007-08-20
,Руслан,Демиденко,Григоріївна,1932-11-04
,Тимофій,Юрчишин,Вʼячеславович,2002-11-18
,Віолетта,Лемешко,Леопольдівна,1953-07-04
,Аарон,Ісаєнко,Арсенівна,1938-04-11
,Соломія,Василечко,Омелянівна,1995-12-30
,Августин,Данчук,Охрімівна,1960-11-02
,Одарка,Слюсар,Георгіївна,1964-08-20
,Едита,Артим,Богданівна,1947-12-19
,Гордій,Гайворонський,Богданович,1946-03-18
,Юстина,Іваненко,Павлівна,2006-07-20
,Пантелеймон,Якименко,Феофанівна,1927-11-16
,Аліна,Зайченко,Захарівна,1960-05-12
,Дарина,Андрієвич,Тарасівна,1964-10-21
,Кирило,Оберемко,Теодорович,2019-06-15
,Амалія,Гузь,Богодарівна,1936-05-21
,Борис,Ващук,Богданівна,1995-12-31
,Михайло,Кабалюк,Миронівна,2003-01-11
,Миколай,Засядько,Устимівна,1950-11-02
,Симон,Ященко,Володимирівна,1935-03-29
,Августин,Черненко,Зорянівна,1960-05-31
,Данна,Товстуха,Владиславівна,2017-02-25
,Орися,Архимович,Степанівна,1941-05-16
,Амвросій,Павлик,Охрімович,1929-11-22
,Кирило,Байдак,Михайлівна,1970-08-02
,Ірена,Удовенко,Венедиктівна,1980-06-12
,Клавдія,Павленко,Аркадіївна,1968-04-05
,Хома,Міщенко,Германівна,1947-10-20
,Прохір,Баштан,Борисівна,1944-11-19
,Мартин,Джунь,Юхимівна,1971-06-07
,Сергій,Аврамчук,Панасович,1934-10-21
,Орхип,Бевзенко,Борисівна,2009-11-28
,Єлисавета,Міщенко,Миколаївна,2000-04-26
,Софія,Хоменко,Миронівна,1942-04-14
,Людмила,Бандера,Віталіївна,1984-10-02
,Ольга,Охримович,Гаврилівна,1982-09-15
,Юхим,Самойленко,Святославівна,2018-04-29
,Феофан,Гайдай,Богуславівна,1980-06-04
,Захар,Якимчук,Леопольдович,1946-12-15
,Анжела,Карпенко,Соломонівна,1956-02-25
,Андрій,Юрчишин,Ааронович,1973-04-17
,Августин,Тесля,Віталійович,2008-02-18
,Артем,Шведченко,Антонівна,2015-09-29
,Златослава,Зінкевич,Андріївна,1988-02-28
,Ірина,Андрійович,Назарівна,1980-02-07
,Степан,Дубенко,Вікторівна,1958-10-02
,Марина,Бездітко,Зорянівна,1963-03-11
,Тарас,Фаренюк,Охрімівна,2022-04-19
,Борислав,Христенко,Григоріївна,1966-02-17
,Лілія,Зубко,Охрімівна,2018-06-17
,Пріска,Пушкар,Володимирівна,1937-04-16
,Данило,Гаврилів,Антонівна,1959-07-05
,Ірина,Товстоліс,Опанасівна,1939-11-03
,Розалія,Швачка,Остапівна,1926-04-30
,Ірина,Луценко,Кирилівна,1979-08-04
,Василь,Засенко,Степанівна,1962-02-18
,Людмила,Литвин,Давидівна,1977-01-09
,Спас,Рубець,Азарівна,1967-12-03
,Михайлина,Джунь,Вʼячеславівна,2023-03-04
,Галина,Наливайко,Спасівна,2020-04-14
,Наталія,Філіпенко,Русланівна,1934-08-25
,Еріка,Їжак,Йосипівна,1929-12-28
,Спас,Данько,Олексович,1970-09-30
,Арсен,Акименко,Гаврилівна,1929-08-04
,Августин,Луценко,Аркадійович,1932-07-27
,Любов,Шутько,Антонівна,1965-02-01
,Аліна,Лаба,Данівна,1945-12-31
,Сніжана,Наливайко,Соломонівна,1937-06-05
,Аарон,Забіла,Йосипович,1957-04-30
,Лариса,Власюк,Францівна,1988-11-04
,Олена,Андрієнко,Костянтинівна,1935-01-17
,Остап,Масоха,Іванівна,1973-08-04
,Едита,Аверченко,Францівна,2009-03-31
,Наталія,Аронець,Сергіївна,1973-08-24
,Спас,Ємець,Панасович,1995-10-01
,Оксенія,Рябець,Августинівна,1960-12-30
,Варвара,Лаба,Демидівна,1934-06-29
,Ганна,Ємельяненко,Орестівна,1939-10-23
,Клавдія,Василенко,Вʼячеславівна,1949-04-14
,Галина,Атаманюк,Глібівна,1989-05-07
,Іван,Ященко,Романівна,2011-01-15
,Розалія,Піддубний,Давидівна,1938-05-28
,Панас,Юрчишин,Степанович,1992-06-04
,Єлисавета,Баранець,Максимівна,1957-09-22
,Павло,Гайдабура,Костянтинович,2004-05-25
,Євген,Скирда,Охрімович,1971-05-19
,Вадим,Гавриш,Лукʼянович,2016-09-13
,Дарина,Кальченко,Яремівна,1939-01-14
,Ростислав,Височан,Захарович,1926-12-14
,Нестор,Захарченко,Азарович,2019-02-21
,Ростислав,Лубенець,Августинівна,2021-03-03
,Варвара,Саченко,Аврелійовна,1986-10-26
,Віолетта,Саєнко,Андріївна,1973-10-28
,Орися,Оробець,Сергіївна,2005-04-04
,Феофан,Шеремета,Лукʼянівна,1979-04-24
,Ілля,Парасюк,Леонідівна,1963-03-12
,Емілія,Удовиченко,Едуардівна,1960-03-24
,Мирон,Рудько,Юстимович,1940-11-24
,Богуслав,Фесенко,Алевтинівна,2002-09-13
,Любов,Шеремет,Лукʼянівна,1940-11-04
,Софія,Голобородько,Леонідівна,1968-03-05
,Анастасія,Доценко,Омелянівна,2008-03-19
,Назар,Хорішко,Вадимович,2004-12-14
,Сергій,Затула,Єлисейович,1950-01-15
,Орхип,Філіпенко,Гаврилович,1950-11-28
,Христина,Єщенко,Сергіївна,1977-10-20
,Любов,Авраменко,Альбертівна,1941-09-14
,Едуард,Гоголь,Владиславович,1936-05-09
,Роксолана,Захаренко,Несторівна,2018-03-15
,Омелян,Ґжицька,Глібович,1965-04-27
,Данило,Малик,Яремівна,1984-07-26
,Павло,Худяк,Богуславівна,1926-10-31
,Ілля,Верхола,Алевтинівна,2010-12-23
,Стефан,Ященко,Миронович,1976-09-14
,Ярослав,Батюк,Лесівна,1983-09-22
,Христина,Рябошапка,Бориславівна,1983-05-05
,Дарина,Юрченко,Мартинівна,1937-12-21
,Пилип,Рябовіл,Соломонівна,2020-12-06
,Орися,Рубець,Кирилівна,2014-10-20
,Орися,Бездітко,Святославівна,1946-10-15
,Зорян,Москаль,Миколайович,1945-12-17
,Зиновій,Дубина,Едуардівна,1952-01-24
,Розалія,Лавренко,Соломонівна,1984-05-23
,Альберт,Черінько,Кирилович,1990-11-01
,Ірина,Малишко,Федорівна,2018-11-24
,Панас,Дейсун,Артемівна,2016-10-17
,Емілія,Титаренко,Мирославівна,1981-04-09
,Наталія,Ковпак,Тарасівна,1969-08-07
,Артем,Нестеренко,Соломонович,1996-07-19
,Макар,Токар,Дмитріївна,1930-12-14
,Едита,Василечко,Романівна,1974-08-06
,Алла,Овсієнко,Ростиславівна,1961-06-15
,Ада,Вернигора,Макарівна,1996-11-10
,Альбіна,Хорішко,Віталіївна,1975-01-30
,Ірена,Килимник,Данилівна,1981-11-27
,Орина,Сацюк,Павлівна,1942-05-10
,Омелян,Ященко,Едуардівна,2019-03-28
,Нестор,Заруба,Арсенівна,2015-04-26
,Данна,Гаврюшенко,Данилівна,1961-11-30
,Анастасія,Забара,Гаврилівна,1987-05-29
,Хома,Яценюк,Захарович,1998-10-26
,Орися,Єрмоленко,Тимофіївна,2010-11-20
,Едуард,Акуленко,Францівна,1952-02-29
,Марта,Лупій,Пилипівна,2022-10-28
,Емілія,Юрчишин,Варфоломіївна,2016-01-17
,Світлана,Артимович,Іллівна,2019-02-22
,Руслан,Малишко,Романівна,1952-05-18
,Валерій,Парасюк,Владиславівна,1967-01-15
,Галина,Терещенко,Орестівна,1996-07-24
,Валентина,Деревʼянко,Петрівна,1946-06-22
,Віра,Бандурка,Опанасівна,1932-06-14
,Франц,Лагода,Йосипович,1955-07-17
,Данна,Рябовіл,Русланівна,2011-09-08
,Христина,Демиденко,Спасівна,1943-09-14
,Лілія,Дергач,Ааронівна,1926-10-11
,Роман,Шаповал,Петрівна,2006-03-05
,Орина,Чорновіл,Лесівна,2016-06-11
,Павло,Теліженко,Устимович,1953-10-15
,Миколай,Дейнеко,Васильівна,1949-11-28
,Августин,Гресь,Демʼянівна,1997-10-30
,Світлана,Філіпенко,Станіславівна,1974-01-24
,Климент,Колодуб,Валентинівна,1947-12-11
,Ірина,Гузенко,Геннадіївна,1927-09-22
,Гліб,Юхименко,Варфоломійович,2012-05-16
,Ярослав,Притула,Тимофіївна,1986-08-20
,Галина,Гузь,Георгіївна,1979-06-13
,Юхим,Гречаник,Макарівна,1942-02-18
,Святослав,Абраменко,Кирилівна,2001-03-06
,Амвросій,Онуфрієнко,Леопольдович,1984-03-19
,Святослава,Дрозденко,Сергіївна,1974-05-03
,Ярема,Карась,Миронович,1962-04-11
,Теодор,Кибкало,Ярославович,1949-05-01
,Єлисавета,Яременко,Остапівна,1977-06-12
,Лесь,Базилевич,Ярославівна,1933-03-03
,Володимира,Щорс,Артемівна,1944-06-07
,Марина,Рябченко,Мирославівна,1939-11-05
,Розалія,Верес,Веніяминівна,1949-02-23
,Віктор,Якименко,Антонович,1979-02-19
,Павло,Салій,Альбертівна,2020-11-03
,Маруся,Дзиндра,Панасівна,1971-08-09
,Мирослав,Зінкевич,Миколайович,2003-11-30
,Олег,Захарченко,Вікторівна,1992-09-09
,Пріска,Гаврилюк,Захарівна,1991-10-23
,Марія,Короленко,Дмитріївна,2009-09-08
,Богодар,Гриценко,Устимівна,2012-12-11
,Олесь,Пʼятаченко,Дмитрович,1983-10-17
,Наталія,Абрамчук,Сергіївна,1931-11-11
,Віталій,Гаєвський,Андріївна,2020-10-06
,Роман,Єрьоменко,Богуславівна,1939-07-13
,Левко,Ґерус,Теодорівна,1988-04-13
,Ярина,Асаула,Аркадіївна,1980-04-30
,Оксенія,Данилюк,Демидівна,1983-11-03
,Надія,Тягнибок,Альбертівна,1960-08-01
,Олекса,Лазаренко,Феофанівна,1973-12-05
,Наталія,Піддубна,Костянтинівна,1938-05-11
,Зиновій,Верховинець,Гордіївна,1938-01-31
,Давид,Царенко,Віталіївна,1971-12-12
,Орина,Комар,Альбертівна,1956-03-08
,Клавдія,Вовк,Захарівна,2023-10-03
,Оксана,Наливайко,Єлисеївна,2006-10-17
,Олена,Запорожець,Вікторівна,1999-06-27
,Болеслав,Опанасенко,Охрімівна,1996-05-04
,Ольга,Терещенко,Феофанівна,2010-12-24
,Марʼяна,Ребрик,Данилівна,1976-12-31
,Василь,Гаврилюк,Алевтинович,1970-04-24
,Златослава,Рак,Геннадіївна,1955-01-01
,Аніта,Байрак,Феофанівна,1994-03-29
,Орися,Мазепа,Аркадіївна,1926-02-28
,Єлисавета,Бабій,Зорянівна,2014-01-25
,Наталія,Пустовіт,Єфремівна,1953-07-10
,Ірина,Полтавець,Лесівна,1986-03-30
,Ганна,Перепелиця,Віталіївна,1940-01-26
,Яків,Кибкало,Артемович,1954-08-31
,Роксолана,Гаврилів,Артемівна,1946-05-27
,Надія,Рева,Аврелійовна,1925-11-03
,Софія,Бабич,Марківна,2001-06-08
,Михайлина,Доценко,Володимирівна,1984-03-08
,Ліза,Юрчишин,Симонівна,1974-03-24
,Еріка,Юрчишин,Мирославівна,1954-04-08
,Ілля,Ільєнко,Павлівна,1950-07-19
,Марта,Свириденко,Назарівна,1931-04-20
,Миколай,Піддубна,Ростиславівна,1953-06-25
,Марта,Давимука,Віталіївна,1953-05-07
,Марина,Нестайко,Остапівна,1963-04-29
,Галина,Кабалюк,Азарівна,2018-04-27
,Камілла,Атаманчук,Семенівна,1996-08-02
,Віолетта,Базавлученко,Гордіївна,2018-09-27
,Пріска,Вакарчук,Аркадіївна,1955-06-04
,Пантелеймон,Чарниш,Алевтинович,1939-11-03
,Марта,Бараник,Андріївна,2002-09-12
,Галина,Адаменко,Олександрівна,1943-06-27
,Левко,Колісниченко,Кирилівна,2014-12-25
,Остап,Атаманчук,Богодарівна,2016-01-20
,Амвросій,Валенко,Панасович,1937-02-24
,Михайло,Дубина,Святославівна,1937-11-25
,Гордій,Устенко,Юхимович,1955-09-08
,Дан,Перепелиця,Владиславович,1924-03-11
,Віра,Євтушенко,Глібівна,1994-01-30
,Азар,Дейнеко,Ігнатович,2023-09-20
,Макар,Оробець,Трохимівна,1999-11-04
,Теодор,Гаврилець,Демидович,1950-08-20
,Марʼяна,Іщенко,Аркадіївна,2007-09-10
,Леопольд,Затула,Георгійович,1969-12-12
,Ада,Александренко,Кирилівна,2014-08-03
,Єлисавета,Шиян,Прохорівна,1986-07-12
,Лілія,Байрак,Ігнатівна,1971-06-28
,Богуслава,Павленко,Гордіївна,1975-05-23
,Валентин,Алексюк,Азарович,1992-06-15
,Августин,Журба,Захарович,1950-11-10
,Ганна,Чабан,Йосипівна,1927-08-28
,Олена,Твердохліб,Стефанівна,2022-01-07
,Василина,Лесик,Амвросійовна,1975-05-10
,Олег,Ярема,Михайлівна,1945-02-23
,Єлисей,Андріїшин,Демʼянович,1935-12-21
,Ігнат,Мазур,Лукʼянович,1965-11-30
,Ярема,Пʼятаченко,Соломонівна,1931-02-20
,Амвросій,Ємець,Лукʼянович,1999-08-04
,Світлана,Ільєнко,Стефанівна,1982-03-09
,Амвросій,Теличенко,Григорійович,1960-01-24
,Святослав,Гайдай,Пантелеймонович,1943-10-05
,Аркадій,Пилипенко,Васильович,2001-11-06
,Соломон,Мазур,Богданівна,2018-03-11
,Герман,Канівець,Олегович,1988-11-16
,Спас,Удовиченко,Демидівна,1933-07-11
,Віра,Проценко,Леонтіївна,1971-10-26
,Марʼяна,Бевз,Святославівна,1997-06-15
,Франц,Дейсун,Пилипівна,2023-07-30
,Соломон,Дробаха,Охрімівна,1988-10-24
,Дмитро,Овсієнко,Дмитрович,1935-11-03
,Тереза,Корж,Ааронівна,1980-01-09
,Теодор,Дурдинець,Семенівна,1962-08-20
,Панас,Бакуменко,Богуславівна,1972-05-12
,Володимир,Перепелиця,Олександрівна,1927-07-08
,Ірина,Устенко,Георгіївна,2003-10-21
,Михайлина,Пʼятаченко,Максимівна,1966-03-03
,Альберт,Даниленко,Демʼянович,1945-06-08
,Олег,Лукаш,Григорійович,2009-09-20
,Феофан,Рубан,Гордіївна,1990-02-07
,Герман,Девдюк,Давидівна,1969-08-07
,Варвара,Атаманчук,Прохорівна,2004-03-02
,Роксолана,Данченко,Володимирівна,2004-04-27
,Ярина,Єрченко,Ярославівна,1938-04-01
,Анжела,Ковпак,Леопольдівна,1933-06-26
,Станіслав,Скиба,Станіславович,1950-12-28
,Роксолана,Кащенко,Леонтіївна,2011-12-30
,Єлисавета,Бабʼяк,Орестівна,1957-11-05
,Аліна,Слюсар,Глібівна,1946-07-19
,Ярина,Вишняк,Русланівна,1938-03-05
,Тимофій,Лисенко,Аврелійович,2021-11-02
,Євген,Самойленко,Алевтинівна,1973-05-28
,Марія,Карпа,Русланівна,1987-06-24
,Аліна,Лубенець,Богодарівна,1982-04-27
,Августин,Дробʼязко,Теодорівна,2011-01-17
,Марко,Василечко,Венедиктович,2022-06-20
,Давид,Єрьоменко,Бориславович,1931-11-05
,Роман,Демʼянюк,Спасівна,1991-08-17
,Мирон,Ващенко,Данівна,1965-04-20
,Юстина,Верхола,Данилівна,1963-03-12
,Одарка,Аврамчук,Єфремівна,1937-04-30
,Владислав,Ющенко,Арсенович,2009-12-26
,Михайло,Мазепа,Феофанівна,1983-03-22
,Розалія,Євдокименко,Валеріївна,1928-04-23
,Віра,Свириденко,Вадимівна,1969-11-21
,Златослава,Кармалюк,Панасівна,1950-12-04
,Віолетта,Власюк,Богодарівна,2015-12-15
,Богодар,Якимчук,Георгійович,1982-12-19
,Марія,Пелех,Адамівна,2009-08-28
,Амалія,Євтушок,Устимівна,2007-10-03
,Алевтин,Токар,Трохимович,1987-06-12
,Альбіна,Верховинець,Остапівна,2022-10-27
,Ганна,Уманець,Геннадіївна,1979-03-21
,Ганна,Акуленко,Семенівна,2014-12-31
,Галина,Чабан,Леонідівна,1983-10-02
,Святослава,Баштан,Тимофіївна,1937-05-05
,Орися,Негода,Тарасівна,1925-11-24
,Ярина,Давиденко,Ростиславівна,2015-10-31
,Амалія,Забіла,Федорівна,2014-11-30
,Амалія,Колодуб,Вʼячеславівна,1924-12-11
,Феофан,Скоробогатько,Соломонович,1971-02-09
,Дарина,Бабиченко,Глібівна,1924-12-13
,Роксолана,Забарна,Сергіївна,1985-06-21
,Макар,Чумак,Орестівна,1927-06-18
,Дарина,Влох,Костянтинівна,1931-10-26
,Наталія,Лаба,Альбертівна,2016-10-03
,Ольга,Єременко,Амвросійовна,2010-09-15
,Лілія,Аверченко,Юстимівна,1932-07-16
,Ліза,Кармалюк,Климентівна,1979-03-22
,Ольга,Ващенко,Пилипівна,1945-09-11
,Ростислав,Башполченко,Опанасович,2022-12-24
,Адам,Гавришкевич,Давидович,2017-11-07
,Владислав,Артим,Павлович,1938-07-02
,Богданна,Башполченко,Олегівна,2004-11-11
,Едита,Величко,Олександрівна,1982-07-04
,Соломія,Демʼяненко,Єфремівна,1950-02-28
,Роман,Лемешко,Федорівна,2019-01-20
,Соломія,Свириденко,Валеріївна,1942-07-22
,Златослава,Дрозд,Бориславівна,1990-05-18
,Алла,Деряжний,Едуардівна,1977-08-22
,Ольга,Бабʼюк,Володимирівна,2006-11-14
,Вадим,Верменич,Володимирівна,1943-08-15
,Аліна,Хомик,Богданівна,1998-11-04
,Богданна,Адамчук,Тарасівна,1929-12-30
,Ярина,Дубас,Костянтинівна,1941-10-21
,Назар,Якимчук,Стефанівна,1997-11-10
,Надія,Романенко,Устимівна,2019-06-18
,Володимира,Ґалаґан,Венедиктівна,2005-12-14
,Алла,Дашенко,Пилипівна,1930-03-14
,Віталій,Перебийніс,Миронович,1978-12-29
,Роксолана,Гаврилів,Адамівна,1952-05-07
,Охрім,Кащенко,Симонович,1938-02-02
,Златослава,Забара,Захарівна,1938-03-13
,Адам,Андрощук,Ростиславівна,1965-03-10
,Ігор,Носенко,Симонівна,1932-02-23
,Теодор,Доценко,Устимівна,1991-09-18
,Пріска,Заруба,Васильівна,1970-09-26
,Мілена,Голобородько,Леопольдівна,1958-04-15
,Тетяна,Олійник,Васильівна,1964-10-21
,Пантелеймон,Гайворонська,Венедиктівна,1964-05-06
,Камілла,Арсенич,Артемівна,1954-04-07
,Мирон,Ґереґа,Стефанівна,1985-03-25
,Оксана,Опанасенко,Ростиславівна,1942-09-26
,Марко,Ватаманюк,Мартинівна,1925-09-21
,Марія,Бгиденко,Аврелійовна,1971-06-17
,Златослава,Бабʼяк,Вʼячеславівна,1946-06-22
,Пріска,Скиба,Алевтинівна,1957-04-22
,Еріка,Гавришкевич,Орхипівна,2001-10-19
,Пріска,Асаула,Кирилівна,1955-09-17
,Болеслав,Дурдинець,Тарасівна,1924-06-21
,Віолетта,Дубас,Теодорівна,1962-07-17
,Камілла,Колодуб,Пантелеймонівна,2017-03-19
,Едита,Вдовиченко,Миколаївна,1931-05-04
,Варвара,Усик,Аркадіївна,2008-06-26
,Богуслава,Бевз,Степанівна,2007-09-06
,Ярослава,Юрченко,Владиславівна,1950-12-08
,Ліза,Царенко,Володимирівна,1949-03-01
,Наталія,Дейнеко,Альбертівна,1974-04-10
,Климент,Ємельяненко,Єлисейович,1936-10-20
,Симон,Адаменко,Геннадіївна,2019-05-25
,Данна,Оніщук,Стефанівна,1936-03-16
,Амвросій,Москаль,Веніяминович,1929-12-01
,Валерій,Гук,Юстимович,2022-03-30
,Борис,Давиденко,Євгенійович,2017-05-17
,Амалія,Кармалюк,Марківна,1961-07-04
,Пріска,Івасюк,Ігнатівна,1973-05-10
,Азар,Ковпак,Климентович,2014-12-25
,Данило,Ґереґа,Павлівна,2008-09-14
,Ольга,Зінкевич,Макарівна,1961-12-20
,Левко,Тесля,Стефанівна,1964-04-10
,Богданна,Фартушняк,Трохимівна,1945-02-28
,Богуслав,Скопенко,Русланович,1991-02-08
,Станіслав,Гавришкевич,Богуславівна,1934-06-07
,Галина,Зінченко,Омелянівна,1974-03-04
,Світлана,Чуйко,Азарівна,1983-08-25
,Ярослав,Бабак,Гаврилович,2018-06-04
,Мирослав,Сірко,Федорівна,1928-01-03
,Михайлина,Величко,Мартинівна,1930-01-14
,Марта,Бабиченко,Ігнатівна,2011-08-22
,Хома,Єсипенко,Амвросійовна,1963-12-06
,Андрій,Проценко,Ярославівна,1981-01-12
,Святослава,Дзюба,Тарасівна,1964-07-24
,Марко,Романчук,Павлівна,1932-04-13
,Данна,Захаренко,Зорянівна,1926-02-25
,Франц,Удовенко,Леонтіївна,1952-11-29
,Марина,Авдєєнко,Панасівна,1957-03-11
,Вікторія,Скорик,Олександрівна,2003-07-20
,Георгій,Балабан,Устимівна,1975-02-11
,Ольга,Медведенко,Федорівна,1948-08-16
,Прохір,Батуринець,Спасівна,1988-06-15
,Оксенія,Непорожній,Владиславівна,1989-05-08
,Тереза,Фаренюк,Пантелеймонівна,1997-11-03
,Софія,Шаблій,Андріївна,1941-10-15
,Болеслав,Андрійович,Августинівна,1947-03-03
,Єлисей,Оніщук,Демʼянівна,1982-05-24
,Демид,Пилипенко,Яковович,2021-11-17
,Тимофій,Христич,Пилипович,1952-12-28
,Федір,Дробаха,Глібович,1979-06-25
,Єва,Єсипенко,Трохимівна,1993-09-14
,Соломія,Гайда,Кирилівна,1987-03-03
,Алла,Гавришкевич,Болеславівна,1986-08-25
,Віра,Шеремета,Остапівна,1977-02-21
,Миколай,Лупій,Степанівна,1948-05-21
,Галина,Бевзенко,Францівна,1961-03-19
,Ігор,Рубан,Симонович,2015-08-20
,Августин,Жайворон,Лукʼянович,1978-11-08
,Демʼян,Твердохліб,Гаврилович,1941-01-20
,Михайло,Сірченко,Ростиславівна,1962-10-21
,Пантелеймон,Дашенко,Русланович,1940-02-02
,Руслан,Малик,Максимович,2013-06-30
,Ада,Тимчук,Леонтіївна,1980-08-07
,Альбіна,Панчук,Адамівна,1968-09-04
,Аркадій,Деркач,Борисівна,1934-09-04
,Надія,Іщенко,Артемівна,2008-09-18
,Анастасія,Деревʼянко,Охрімівна,1960-07-11
,Франц,Баранник,Миронівна,1956-12-14
,Демʼян,Єресько,Яремівна,2016-07-10
,Станіслав,Орлик,Олександрівна,1998-08-02
,Климент,Ґалаґан,Геннадіївна,1971-06-29
,Мартин,Забіла,Вікторівна,1961-07-24
,Маруся,Міщенко,Охрімівна,1961-01-15
,Михайло,Кибкало,Леонідівна,1969-06-12
,Борис,Ірванець,Арсенівна,1961-12-30
,Стефан,Бабій,Опанасівна,1968-06-14
,Анастасія,Єрченко,Демʼянівна,1991-10-17
,Соломія,Удовиченко,Вікторівна,1994-09-25
,Сергій,Башполченко,Станіславович,1988-07-25
,Феофан,Хоменко,Стефанівна,1958-02-25
,Світлана,Гаєвська,Леонтіївна,1925-09-17
,Кирило,Заєць,Соломонівна,1998-07-02
,Трохим,Бабʼяк,Давидівна,1935-08-22
,Людмила,Дрозд,Тарасівна,1966-11-18
,Тетяна,Єфименко,Єлисеївна,2006-04-28
,Ярослава,Батюк,Симонівна,1941-07-13
,Марта,Овчаренко,Гаврилівна,1936-11-12
,Гліб,Ковпак,Володимирівна,1961-10-21
,Альбіна,Дараган,Лесівна,1934-12-03
,Едита,Ґерус,Богуславівна,1924-09-07
,Варфоломій,Єфименко,Ростиславівна,1930-12-13
